iter	Passed	Remaining
0	1	1627
1	3	1621
2	4	1586
3	6	1589
4	7	1585
5	10	1778
6	13	1869
7	15	1948
8	25	2757
9	26	2632
10	29	2619
11	31	2570
12	32	2491
13	35	2488
14	44	2931
15	46	2832
16	47	2770
17	49	2705
18	51	2669
19	53	2643
20	56	2632
21	58	2617
22	61	2611
23	63	2572
24	65	2541
25	66	2504
26	68	2464
27	70	2460
28	73	2474
29	76	2460
30	78	2440
31	82	2489
32	84	2485
33	86	2457
34	89	2457
35	91	2454
36	94	2450
37	96	2447
38	98	2428
39	100	2421
40	103	2411
41	114	2608
42	116	2591
43	118	2570
44	120	2550
45	122	2540
46	124	2530
47	127	2521
48	131	2544
49	133	2528
50	135	2515
51	136	2491
52	138	2477
53	141	2472
54	143	2472
55	148	2500
56	149	2481
57	152	2468
58	153	2456
59	155	2441
60	157	2432
61	165	2501
62	167	2485
63	169	2477
64	172	2478
65	176	2502
66	179	2493
67	181	2481
68	182	2468
69	184	2452
70	186	2438
71	188	2432
72	192	2447
73	198	2480
74	199	2465
75	202	2459
76	204	2452
77	206	2440
78	208	2432
79	216	2487
80	218	2478
81	220	2463
82	221	2450
83	223	2439
84	225	2426
85	227	2417
86	230	2415
87	235	2442
88	237	2434
89	240	2426
90	241	2416
91	243	2406
92	245	2396
93	247	2389
94	250	2381
95	252	2374
96	253	2362
97	256	2358
98	258	2349
99	260	2342
100	262	2338
101	264	2327
102	266	2319
103	268	2312
104	270	2302
105	272	2294
106	274	2291
107	278	2300
108	280	2291
109	282	2283
110	284	2278
111	286	2270
112	288	2261
113	289	2252
114	291	2243
115	293	2234
116	295	2228
117	297	2221
118	298	2212
119	300	2202
120	302	2195
121	304	2188
122	306	2184
123	308	2178
124	309	2169
125	311	2161
126	313	2155
127	315	2148
128	317	2141
129	319	2135
130	320	2127
131	322	2122
132	324	2115
133	326	2108
134	327	2100
135	329	2094
136	331	2087
137	333	2080
138	334	2072
139	336	2066
140	337	2058
141	339	2051
142	341	2044
143	342	2038
144	344	2032
145	346	2026
146	348	2019
147	349	2014
148	351	2007
149	353	2002
150	355	1996
151	357	1992
152	358	1985
153	360	1980
154	361	1973
155	363	1967
156	365	1961
157	367	1956
158	369	1952
159	370	1947
160	372	1941
161	374	1936
162	376	1932
163	377	1925
164	379	1921
